l1_subset,l1_algo,l2_subset,l2_algo,accuracy,macro_f1,weighted_f1,false_alarm_rate,forwarded,recall_Normal,recall_DoS,recall_Probe,recall_R2L,recall_U2R,latency_us
PSO,XGBoost,MVO,CatBoost,0.7925390347764372,0.5315584059996639,0.7452101946420683,0.029966017917825147,0.4153211497515969,0.9700339820821748,0.827433628318584,0.9124328789756299,0.021423384168482208,0.04,0.5153224499805118
MVO,LightGBM,MVO,Extra Trees,0.7704488999290277,0.5314794421720254,0.7335198239658216,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7725931885223921,0.828996282527881,0.05664488017429194,0.075,1.995868319107224
MVO,LightGBM,GA,CatBoost,0.7546575585521647,0.5313610531798425,0.7152840169193452,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7244569589702333,0.8281701776125568,0.0570079883805374,0.095,0.8429999685861896
PSO,Extra Trees,GA,XGBoost,0.781139105748758,0.5311191604905648,0.7356086188129298,0.030171969931006074,0.4090223562810504,0.9698280300689939,0.8098685974792169,0.86575795125981,0.01597676107480029,0.06,2.8326197664663377
PSO,GBM,MFO,GBM,0.76694464158978,0.5310494870313488,0.7372892463243674,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.7489943684633951,0.8050392399834779,0.12490922294843863,0.025,1.2951743118980465
GWO,XGBoost,MFO,Extra Trees,0.7712029808374734,0.5308871799746869,0.7307687964892513,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7865379458299813,0.7988434531185461,0.058460421205519246,0.06,1.65288891315684
PSO,GBM,MVO,CatBoost,0.7802075940383251,0.5308515583958229,0.7449632922987627,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.7955215875569858,0.8174308137133416,0.09658678286129267,0.025,0.6859414596107648
GWO,LightGBM,GA,CatBoost,0.75847232079489,0.5305660656369668,0.7221985974403582,0.030583873957367932,0.39571504613200853,0.969416126042632,0.7437650844730491,0.8108219743907477,0.058460421205519246,0.07,0.7996911209229436
GWO,LightGBM,MFO,Random Forest,0.7677430801987225,0.5304600775694441,0.7271768713410416,0.030583873957367932,0.39571504613200853,0.969416126042632,0.7723250201126307,0.8104089219330854,0.05773420479302832,0.065,1.8865758352739224
GWO,LightGBM,MVO,Extra Trees,0.7741305890702626,0.5299219750998033,0.736705802299308,0.030583873957367932,0.39571504613200853,0.969416126042632,0.7917672298203272,0.8112350268484098,0.05737109658678286,0.055,1.9542419241333329
GWO,XGBoost,MFO,CatBoost,0.7704045422285308,0.5296378624558619,0.7297114292044325,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7798337355859479,0.8112350268484098,0.059186637618010164,0.06,0.49716186021254843
GWO,XGBoost,MFO,Random Forest,0.7714691270404542,0.529316580549194,0.7308412435293783,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7835880933226066,0.8108219743907477,0.058460421205519246,0.055,1.6562513899071951
GWO,Extra Trees,MVO,LightGBM,0.778388928317956,0.5292736634568819,0.738408854524623,0.03233446606940583,0.38972675656493966,0.9676655339305942,0.8161705551086083,0.7843866171003717,0.05773420479302832,0.03,2.5292004616738475
MVO,XGBoost,MFO,GBM,0.7564762242725337,0.5292646778648875,0.7219496401917423,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.7715205148833467,0.8240396530359355,0.05809731299927379,0.085,1.0564591871379017
PSO,CatBoost,MVO,CatBoost,0.7894783534421576,0.5291588809766634,0.7387128701306847,0.03192256204304397,0.413236337828247,0.968077437956956,0.8240815231965675,0.9239983477901693,0.0014524328249818446,0.05,0.7396839106012116
PSO,XGBoost,MVO,Extra Trees,0.787304826117814,0.5291193132522519,0.7453907201105009,0.029966017917825147,0.4153211497515969,0.9700339820821748,0.8159023866988468,0.8983890954151177,0.02214960058097313,0.04,1.8046231106046369
MVO,XGBoost,MFO,XGBoost,0.7583836053938964,0.5289399795637906,0.7184072023040313,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.7771520514883347,0.8244527054935977,0.05809731299927379,0.085,0.44273666632948994
MVO,CatBoost,GA,Random Forest,0.7790099361249113,0.5288682806208761,0.7380221785037445,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.7951193349423438,0.8442792234613796,0.05737109658678286,0.06,2.156224524653469
GWO,LightGBM,MFO,CatBoost,0.7665010645848119,0.5288517668354191,0.725823399494429,0.030583873957367932,0.39571504613200853,0.969416126042632,0.7681684097613302,0.8108219743907477,0.058460421205519246,0.065,0.7385534422012074
GWO,CatBoost,MFO,GBM,0.7677874378992193,0.5286540826998499,0.7300884625112792,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7615982837221775,0.8364312267657993,0.06281771968046478,0.055,1.419464724620712
PSO,GBM,GA,Random Forest,0.7775017743080199,0.5285860738216343,0.7401372113691133,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.7949852507374632,0.8042131350681536,0.08678286129266521,0.035,1.830879727069543
GWO,LightGBM,MFO,Extra Trees,0.7673438608942512,0.5284829155524741,0.7269316481417835,0.030583873957367932,0.39571504613200853,0.969416126042632,0.775408956824886,0.7976042957455597,0.05773420479302832,0.06,1.8832454638861222
MVO,LightGBM,GA,Extra Trees,0.7578956706884316,0.5283200956409765,0.7187398731474971,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7355859479753285,0.8252788104089219,0.05737109658678286,0.075,1.8546989681618176
MVO,Extra Trees,MVO,XGBoost,0.7749290276792051,0.5283111197003504,0.738005581597914,0.04922253115024199,0.3992193044712562,0.950777468849758,0.8263609546795387,0.7885171416769929,0.05737109658678286,0.035,2.8363674465838082
MVO,CatBoost,MFO,GBM,0.772444996451384,0.5283075287828516,0.7340798836608191,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.7752748726200054,0.8451053283767038,0.05737109658678286,0.05,1.6184611226133168
